CO N idle
25 1 81.90
44 2 66.78
60 3 62.24
72 4 57.07
85 5 51.52
103 6 44.67
115 7 43.34
122 8 37.61
135 9 36.49
137 10 32.66
153 11 31.64
157 12 30.47
157 13 30.34
169 14 26.14
166 15 27.15
182 16 21.56
179 17 20.14
180 18 22.34
181 19 18.10
194 20 18.64
188 21 11.69
180 22 15.91
201 23 14.99
176 24 15.15
189 25 14.65
199 26 12.12
213 27 13.24
207 28 10.81
228 29 4.70
199 30 6.97
210 31 6.77
228 32 5.07
237 33 5.71
244 34 2.54
240 35 3.74
228 36 1.01
237 37 0.34
226 38 1.35
228 39 1.36
250 40 0.34
231 41 1.53
247 42 0.67
252 43 1.19
245 44 1.17
228 45 2.20
219 46 2.53
243 47 2.37
240 48 0.17
209 49 0.00
222 50 0.51
